Title,Note,URL,Tags,Cuisine,Latitude,Longitude,Visited,City,State,Type
PA'S PAPA JAPANESE RESTAURANT,Japanese,https://www.google.com/maps/place/PA'S+PAPA+JAPANESE+RESTAURANT/data=!4m2!3m1!1s0x808f8703a851db9f:0x8e63c78378832411,,Japanese,37.7905232,-122.1973976,,,,Restaurant
Mazda Classic Automobile Museum Frey,,https://www.google.com/maps/place/Mazda+Classic+Automobile+Museum+Frey/data=!4m2!3m1!1s0x479ebd46b976096b:0x9b20ccca29c9cc47,,,48.361,10.9132,,,,Museum
The Sacred Grounds Cafe,Cozy cafe,https://www.google.com/maps/place/The+Sacred+Grounds+Cafe/data=!4m2!3m1!1s0x8085874dbfba71cb:0x8b7e11d174b2bc09,,Café,33.738873,-118.287115,,,,Café / Coffee
La Promenade Café,Cozy cafe,https://www.google.com/maps/place/La+Promenade+Caf%C3%A9/data=!4m2!3m1!1s0x808587a5e684eb5d:0x49dd061e4ae0bd1e,,Café,37.775551,-122.49816,,,,Café / Coffee
Tosca Cafe,Until the end of the world,https://www.google.com/maps/place/Tosca+Cafe/data=!4m2!3m1!1s0x808580f48a4913db:0x26641a2229c22b86,,Café,45.443351,11.000489,,,,Café / Coffee
Tucker's Ice Cream,,https://www.google.com/maps/place/Tucker's+Ice+Cream/data=!4m2!3m1!1s0x808f86bdfcbd3f0f:0x43af68920752619e,,Dessert / Ice Cream,37.763833,-122.243348,,,,Ice Cream / Dessert
Bar 821,Rare amaros,https://www.google.com/maps/place/Bar+821/data=!4m2!3m1!1s0x808580b1b6793991:0x33f7ff9d575d396d,,Bar,37.777153,-122.438416,,,,Bar
Mitama,,https://www.google.com/maps/place/Mitama/data=!4m2!3m1!1s0x80857dc5687d3bab:0xb24d1204d3b01ff6,,,-11.383117,39.488285,,,,Restaurant
Riceful,,https://www.google.com/maps/place/Riceful/data=!4m2!3m1!1s0x80857db825a424a9:0x48a69ecf83fa220,,,37.867847,-122.259715,,,,Restaurant
Nippon Curry Berkeley,,https://www.google.com/maps/place/Nippon+Curry+Berkeley/data=!4m2!3m1!1s0x80857d0032aea559:0x74dc34a2a09d416e,,Japanese,37.868629,-122.258841,,,,Restaurant
Sun Moon Studio,NY Times list best restaurants 2025,https://www.google.com/maps/place/Sun+Moon+Studio/data=!4m2!3m1!1s0x80857f8bcb2b98d3:0x6aa4add8ef57dae2,,,37.814759,-122.286376,,,,Restaurant
Verjus,NY Times list best restaurants 2025,https://www.google.com/maps/place/Verjus/data=!4m2!3m1!1s0x8085812c80cb1f65:0xb19841bbfa99695e,,French,49.026349,6.297187,,,,Restaurant
Joodooboo,Food & Wine selection ,https://www.google.com/maps/place/Joodooboo/data=!4m2!3m1!1s0x80857f1d4794619b:0x435cb26d1b3b0b6f,,Korean,37.832525,-122.273717,,,,Restaurant
Ushi Taro Ramen Sunset,,https://www.google.com/maps/place/Ushi+Taro+Ramen+Sunset/data=!4m2!3m1!1s0x8085878887644989:0xcc373399cd87ee1f,,Japanese,37.756,-122.5006,,,,Restaurant
Tadich Grill,Cioppino,https://www.google.com/maps/place/Tadich+Grill/data=!4m2!3m1!1s0x8085806190d758a9:0x6af5b322c8347fe5,,American,37.79342,-122.399472,,,,Restaurant
Baja Cantina & Grill,Go during car week,https://www.google.com/maps/place/Baja+Cantina+%26+Grill/data=!4m2!3m1!1s0x808defa3f7160633:0x8e2506637a94073e,,American,36.533291,-121.850552,,,,Restaurant
Canepa,,https://www.google.com/maps/place/Canepa/data=!4m2!3m1!1s0x808e474ad6be6df9:0xdb5c753f675e8688,,,44.396073,9.117353,,,,Restaurant
Noisebridge,Free co-working,https://www.google.com/maps/place/Noisebridge/data=!4m2!3m1!1s0x808f7e23baa2b1df:0x81b913a252fb8d04,,,37.762434,-122.418659,,,,Restaurant
Mercedes-Benz Museum,,https://www.google.com/maps/place/Mercedes-Benz+Museum/data=!4m2!3m1!1s0x4799c4feda1ddf91:0xc166f4f1bffb4b94,,,48.788201,9.233992,,,,Museum
Noori Chicken,,https://www.google.com/maps/place/Noori+Chicken/data=!4m2!3m1!1s0x808f870077fd7b4d:0x6328416c78724e28,,,37.809072,-122.25531,,,,Restaurant
Pyeong Chang Tofu House Oakland 오클랜드 평창 순두부,,https://www.google.com/maps/place/Pyeong+Chang+Tofu+House+Oakland+%EC%98%A4%ED%81%B4%EB%9E%9C%EB%93%9C+%ED%8F%89%EC%B0%BD+%EC%88%9C%EB%91%90%EB%B6%80/data=!4m2!3m1!1s0x80857de188d10765:0x7fd9fe7483bb5e5a,,Korean,37.8316,-122.2665,,,,Restaurant
Shugetsu ramen,,https://www.google.com/maps/place/Shugetsu+ramen/data=!4m2!3m1!1s0x808fc10004941901:0x42ccef93b30c4ff9,,Japanese,48.200782,17.014575,,,,Restaurant
Ramen Shop,,https://www.google.com/maps/place/Ramen+Shop/data=!4m2!3m1!1s0x80857dc372123eab:0xb09a84cb2ea24603,,Japanese,40.784244,141.146953,,,,Restaurant
North Light,,https://www.google.com/maps/place/North+Light/data=!4m2!3m1!1s0x80857d885c87df5b:0x23d84cf6bd07309,,Café,37.83602,-122.262825,,,,Café / Coffee
Bishop Lake,,https://www.google.com/maps/place/Bishop+Lake/data=!4m2!3m1!1s0x80be2ee401b49e53:0x561e15e077518a13,,,46.012676,-86.820095,,,,Park / Nature
Mijori Japanese Restaurant,,https://www.google.com/maps/place/Mijori+Japanese+Restaurant/data=!4m2!3m1!1s0x808f874399823c97:0xaef0045f71f9e9c,,Japanese,37.8124455,-122.2471213,,,,Restaurant
